Name: CCTV-3, URL: http://114.100.195.107:4022/rtp/238.1.78.170:7232, Date: None, Resolution: None, Response Time: inf ms
Name: 北京卫视, URL: http://118.79.7.20:6001/rtp/226.0.2.177:9328, Date: None, Resolution: None, Response Time: inf ms
Name: 河南卫视, URL: http://219.147.3.106:4455/newlive/live/hls/38/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 东南卫视, URL: http://219.147.3.106:4455/newlive/live/hls/29/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 湖北卫视, URL: http://219.147.3.106:4455/newlive/live/hls/32/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 东方卫视, URL: http://219.147.3.106:4455/newlive/live/hls/23/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 安徽卫视, URL: http://219.147.3.106:4455/newlive/live/hls/21/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 山东卫视, URL: http://219.147.3.106:4455/newlive/live/hls/48/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 深圳卫视, URL: http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 黑龙江卫视, URL: http://111.75.151.236:50085/newlive/live/hls/32/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 浙江卫视, URL: http://111.75.151.236:50085/newlive/live/hls/21/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 海南卫视, URL: http://111.75.151.236:50085/newlive/live/hls/42/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CHC动作电影, URL: http://58.223.166.16/live2.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 内蒙古卫视, URL: http://218.13.170.98:9901/tsfile/live/0109_1.m3u8, Date: None, Resolution: None, Response Time: 483 ms
Name: CCTV-10, URL: http://1.195.111.251:11190/tsfile/live/0010_1.m3u8, Date: None, Resolution: None, Response Time: 515 ms
Name: 陕西卫视, URL: http://218.13.170.98:9901/tsfile/live/0136_1.m3u8, Date: None, Resolution: None, Response Time: 485 ms
Name: 宁夏卫视, URL: http://218.13.170.98:9901/tsfile/live/0112_1.m3u8, Date: None, Resolution: None, Response Time: 488 ms
Name: 天津卫视, URL: http://218.13.170.98:9901/tsfile/live/1008_1.m3u8, Date: None, Resolution: None, Response Time: 484 ms
Name: 西藏卫视, URL: http://111.75.151.236:50085/newlive/live/hls/36/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 新疆卫视, URL: http://111.75.151.236:50085/newlive/live/hls/49/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-14, URL: http://222.240.82.92:9901/tsfile/live/0014_1.m3u8, Date: None, Resolution: None, Response Time: 557 ms
Name: 三沙卫视, URL: http://61.138.128.226:19901/tsfile/live/1020_1.m3u8, Date: None, Resolution: None, Response Time: 523 ms
Name: 江西卫视, URL: http://xxw.me0.cn/api/migu.php?id=26, Date: None, Resolution: None, Response Time: 1136 ms
Name: CCTV-11, URL: http://xxw.me0.cn/api/migu.php?id=14, Date: None, Resolution: None, Response Time: 1162 ms
Name: CCTV-12, URL: http://xxw.me0.cn/api/migu.php?id=15, Date: None, Resolution: None, Response Time: 1166 ms
Name: CCTV-17, URL: http://xxw.me0.cn/api/migu.php?id=19, Date: None, Resolution: None, Response Time: 1164 ms
Name: 凤凰中文, URL: https://play-flive.ifeng.com/live/06OLEGEGM4G.flv, Date: None, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759, Date: None, Resolution: None, Response Time: 1244 ms
Name: 凤凰资讯, URL: https://play-flive.ifeng.com/live/06OLEEWQKN4.flv, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-4, URL: http://lu1.cc/itv/php/cctv4k.php, Date: None, Resolution: None, Response Time: inf ms
Name: 青海卫视, URL: http://stream.qhbtv.com/qhws/sd/live.m3u8, Date: None, Resolution: None, Response Time: 2313 ms
Name: 贵州卫视, URL: http://218.13.170.98:9901/tsfile/live/1014_1.m3u8, Date: None, Resolution: None, Response Time: 3517 ms
Name: CCTV-1, URL: http://14.117.233.245:9000/udp/239.77.0.188:5146, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-6, URL: http://117.141.149.101:4431/tsfile/live/faacts/0006_1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-13, URL: http://14.117.233.245:9000/udp/239.77.0.188:5146, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-5+, URL: http://114.249.19.38:4022/rtp/239.3.1.173:8001, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-2, URL: http://112.114.137.121:888/hls/2/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-5, URL: http://114.249.19.38:4022/rtp/239.3.1.173:8001, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-9, URL: http://121.24.99.52:8090/hls/17/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-8, URL: http://220.178.185.92:4022/rtp/238.1.78.173:7256, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-7, URL: http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-16, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV-15, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 广西卫视, URL: http://222.84.98.48:4200/udp/239.81.0.107:4056, Date: None, Resolution: None, Response Time: inf ms
Name: CHC家庭影院, URL: http://tv6.blcu.edu.cn/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/452c80009b-0-0-e2338fa7fa61d532e85364bf7f77a71e/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 甘肃卫视, URL: http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CHC高清电影, URL: http://tv6.blcu.edu.cn/liverespath/bca6167afdef7fc773405c38e695b342c1d1eca0/a51d115379-0-0-2d3f80b098bcb9a30d9368695375926f/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 大湾区卫视, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 凤凰香港, URL: http://113.64.145.61:8081/hls/38/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 云南卫视, URL: http://125.210.152.19:9123/live/hzgq-ynwsgq-h264.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225768/1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 重庆卫视, URL: http://125.210.152.19:9123/live/hzgq-cqwsgq-h264.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 辽宁卫视, URL: http://221.220.135.32:9999/rtp/239.3.1.210:8056, Date: None, Resolution: None, Response Time: inf ms
Name: 吉林卫视, URL: http://majian.ixiaobai.net:58888/rtp/239.37.0.111:5540, Date: None, Resolution: None, Response Time: inf ms
Name: 河北卫视, URL: http://110.240.239.100:8888/rtp/239.253.92.154:6011, Date: None, Resolution: None, Response Time: inf ms
Name: 广东卫视, URL: http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 湖南卫视, URL: http://182.122.73.120:8089/hls/30/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏卫视, URL: http://182.122.73.120:8089/hls/31/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
